fold,mae,rmse,field_mae,field_rmse,model,__source
US_008_30W_10min,59.7401045885953,61.530208408006615,0.0683068141085891,0.137646436257339,SpatialKANBioheat,loso_SpatialKANBioheat_masked.csv
US_009_30W_10min,65.85961144666098,67.72401710568458,0.0931667761883568,0.140747783047676,SpatialKANBioheat,loso_SpatialKANBioheat_masked.csv
US_010_25W_5min,56.12047174977471,58.3574351948304,0.0430652806131665,0.0924197610397787,SpatialKANBioheat,loso_SpatialKANBioheat_masked.csv
US_011_30W_5min,52.59661917669493,54.8350516330356,0.0480760915116639,0.1047408512419389,SpatialKANBioheat,loso_SpatialKANBioheat_masked.csv
US_012_35W_5min,61.65319480573723,63.89825712551472,1.0401461446266034,1.0483012749500695,SpatialKANBioheat,loso_SpatialKANBioheat_masked.csv
US_013_40W_5min,54.856297332125344,57.184776215269856,0.0547207170584279,0.1147915098782208,SpatialKANBioheat,loso_SpatialKANBioheat_masked.csv
US_014_45W_5min,67.03686855759258,69.51450954665204,0.8228895212413804,0.8311094768496422,SpatialKANBioheat,loso_SpatialKANBioheat_masked.csv
US_015_50W_5min,71.70685461695373,73.71885460571133,0.1518923839127561,0.1831319709474723,SpatialKANBioheat,loso_SpatialKANBioheat_masked.csv
US_001_30W_10min,45.22051377474943,45.266536060224006,45.21940820880752,46.114056772503794,SpatialResNet,loso_SpatialResNet_masked.csv
US_002_30W_10min,15.551151143433868,16.89544321462087,44.36905677266219,45.80819815079383,SpatialResNet,loso_SpatialResNet_masked.csv
US_003_30W_10min,23.899872468190697,26.360755993655165,50.3924351906597,51.18205442626701,SpatialResNet,loso_SpatialResNet_masked.csv
US_004_30W_10min,28.433225845908098,29.314409097353277,54.276729864604896,55.86820039646909,SpatialResNet,loso_SpatialResNet_masked.csv
US_005_30W_10min,33.64508495058818,34.60934727535283,59.09161476355085,61.00146438523191,SpatialResNet,loso_SpatialResNet_masked.csv
US_006_30W_10min,12.77900874933457,14.658262017072742,71.36046740461514,76.26191896030087,SpatialResNet,loso_SpatialResNet_masked.csv
US_007_30W_10min,32.07932180476879,36.76642656902381,97.00311965167838,97.67148952593392,SpatialResNet,loso_SpatialResNet_masked.csv
US_008_30W_10min,21.504782060463373,24.945102556179005,81.17842959083202,81.46868548647689,SpatialResNet,loso_SpatialResNet_masked.csv
US_009_30W_10min,12.889808702362672,18.957982652963626,73.6484675891484,75.08143603768634,SpatialResNet,loso_SpatialResNet_masked.csv
US_010_25W_5min,35.78750970600232,39.56084441301118,91.8641431771178,92.16012160875576,SpatialResNet,loso_SpatialResNet_masked.csv
US_011_30W_5min,16.263015828522924,20.993162313324056,68.81858888347318,69.99173889200402,SpatialResNet,loso_SpatialResNet_masked.csv
US_012_35W_5min,21.749115145434374,23.47301594473905,42.0886532400697,44.65919485286987,SpatialResNet,loso_SpatialResNet_masked.csv
US_013_40W_5min,15.623875336589736,22.322509375379493,70.34206336149651,70.52799620553823,SpatialResNet,loso_SpatialResNet_masked.csv
US_014_45W_5min,19.2792376572151,20.825753733219592,56.57000158972343,58.260556000371565,SpatialResNet,loso_SpatialResNet_masked.csv
US_015_50W_5min,11.481380251284753,14.063503628594878,71.4521265587236,72.27539394468613,SpatialResNet,loso_SpatialResNet_masked.csv
